"","tipo","localizacao","ICG","INSE","TDI_EM","MHA_EM","REP_EM"
"210","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"211","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"212","EREM","Urbana","N5","[3.54,4.26)","[0,13.3)","[5.4,9.5)","[0,2.7)"
"213","EREM","Urbana","N2","[4.26,4.55)","[0,13.3)","[9.5,10.5]","[2.7,5)"
"214","EREM","Urbana","N3","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"215","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"216","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[5.4,9.5)","[5,33.2]"
"217","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[2.7,5)"
"218","EREM","Urbana","N4","[4.55,6.35]","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"219","EREM","Urbana","N5","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"220","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"221","EREM","Urbana","N2","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"222","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"223","EREM","Urbana","N3","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[0,2.7)"
"224","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[5.4,9.5)","[0,2.7)"
"225","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"226","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"227","EREM","Urbana","N5","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"228","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"229","EREM","Urbana","N5","[4.55,6.35]","[0,13.3)","[5.4,9.5)","[5,33.2]"
"230","EREM","Urbana","N3","[4.55,6.35]","[25.6,65.3]","[3.8,5.4)","[2.7,5)"
"231","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"232","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[5,33.2]"
"233","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"234","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"235","EREM","Urbana","N5","[4.26,4.55)","[13.3,25.6)","[3.8,5.4)","[0,2.7)"
"236","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"237","EREM","Urbana","N2","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
"238","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"239","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"240","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"241","EREM","Urbana","N2","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"242","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"243","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"244","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"245","EREM","Urbana","N4","[4.26,4.55)","[13.3,25.6)","[9.5,10.5]","[5,33.2]"
"246","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"247","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[5.4,9.5)","[0,2.7)"
"248","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[0,2.7)"
"249","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"250","EREM","Urbana","N4","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[0,2.7)"
"251","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"252","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[5,33.2]"
"253","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[3.8,5.4)","[5,33.2]"
"254","EREM","Urbana","N4","[4.55,6.35]","[0,13.3)","[9.5,10.5]","[2.7,5)"
"255","EREM","Urbana","N3","[4.26,4.55)","[13.3,25.6)","[5.4,9.5)","[5,33.2]"
"256","EREM","Urbana","N2","[4.55,6.35]","[13.3,25.6)","[9.5,10.5]","[2.7,5)"
"257","EREM","Urbana","N4","[4.26,4.55)","[25.6,65.3]","[9.5,10.5]","[2.7,5)"
