ANO;ID;tipo;nota;TDI_EM;TDI_01;TDI_02;TDI_03;MHA_EM;MHA_01;MHA_02;MHA_03
2019;26103745;EREM;477,2271552;16,6;14,9;23,9;8;9,5;9,5;9,5;9,5
2019;26103834;EREM;480,4495968;25,2;33,5;21;13,8;9,5;9,5;9,5;9,5
2019;26104229;EREM;471,7534375;8,7;10,2;11,5;4,5;9,5;9,5;9,5;9,5
2019;26104920;EREM;467,0964706;18,5;19,7;15,8;19,6;9,5;9,5;9,5;9,5
2019;26105195;EREM;492,1707071;15,7;23,7;17,3;3,7;6,4;7;7;7
2019;26105250;EREM;458,4669118;22;25,7;25,5;12,3;8,4;9,5;9,5;9,5
2019;26105314;EREM;477,8594488;17,4;23,2;15,6;11,7;9,5;9,5;9,5;9,5
2019;26105519;EREM;454,5;33,8;35,2;35,7;29,8;4,9;6;4,3;4,2
2019;26105810;Privada;570,9632813;6,6;12,8;4,3;3,4;4,5;4,5;4,5;4,5
2019;26105837;EREM;446,0055147;22,3;34;25,9;1,7;8,7;8,5;8,2;9,5
2019;26106060;EREM;482,8682692;14,4;18,7;13;6,2;9,5;9,5;9,5;9,5
